Pos,StNr,Naam,Woonplaats,NK,Run1,#R1,T1,Bike,#B,AftBike,#AftB,T2,Run2,#R2,Total,DQ,race,date
1,202,Thomas Cremers,ELST,X,00:16:20,1,00:00:42,00:29:47,2,00:46:48,1,00:00:41,00:08:35,1,00:56:03,,NK Run Bike Run ,2017-10-08
2,210,Joost Somsen,EIBERGEN,X,00:17:45,9,00:00:39,00:29:37,1,00:48:00,3,00:00:40,00:08:51,2,00:57:31,,NK Run Bike Run ,2017-10-08
3,213,Joey van 't Verlaat,SPIJKENISSE,X,00:17:05,3,00:00:36,00:30:23,4,00:48:04,4,00:00:36,00:08:56,3,00:57:35,,NK Run Bike Run ,2017-10-08
4,203,Victor Goené,VEENENDAAL,X,00:17:15,5,00:00:41,00:30:04,3,00:47:59,2,00:00:41,00:09:07,4,00:57:47,,NK Run Bike Run ,2017-10-08
5,216,Koen Wiggers,HENGELO,X,00:17:05,2,00:00:40,00:31:10,5,00:48:54,5,00:00:37,00:09:25,6,00:58:56,,NK Run Bike Run ,2017-10-08
6,211,Chris Steenbakker,'S HEERENHOEK,X,00:17:45,8,00:00:39,00:31:25,7,00:49:47,6,00:00:53,00:09:46,10,01:00:25,,NK Run Bike Run ,2017-10-08
7,204,Davy Heijsteeg,AALSMEER,X,00:17:14,4,00:00:48,00:32:29,9,00:50:29,8,00:00:40,00:09:44,8,01:00:52,,NK Run Bike Run ,2017-10-08
8,217,Tristan Olij,WINKEL,X,00:18:23,11,00:00:45,00:31:17,6,00:50:24,7,00:00:53,00:09:44,9,01:01:01,,NK Run Bike Run ,2017-10-08
9,209,Ian Pennekamp,BUSSUM,X,00:18:19,10,00:00:39,00:33:33,10,00:52:30,10,00:00:39,00:09:11,5,01:02:19,,NK Run Bike Run ,2017-10-08
10,230,Luc van Ginneken,,X,00:18:57,12,00:00:44,00:32:26,8,00:52:06,9,00:00:42,00:10:15,14,01:03:01,,NK Run Bike Run ,2017-10-08
11,214,Jaimy Voogt,BARENDRECHT,X,00:17:31,7,00:00:43,00:35:01,13,00:53:14,11,00:00:48,00:09:27,7,01:03:28,,NK Run Bike Run ,2017-10-08
12,208,Roel Linde,CAPELLE AAN DEN IJSSEL,X,00:19:09,14,00:00:41,00:34:28,11,00:54:17,12,00:00:43,00:10:11,12,01:05:10,,NK Run Bike Run ,2017-10-08
13,212,Alessio van der Straaten,BERKEL EN RODENRIJS,X,00:19:02,13,00:01:13,00:38:09,15,00:58:23,14,00:01:01,00:10:02,11,01:09:25,,NK Run Bike Run ,2017-10-08
14,215,Fabian van de Wetering,IJSSELMUIDEN,X,00:20:46,16,00:00:55,00:36:49,14,00:58:29,15,00:00:58,00:10:40,15,01:10:06,,NK Run Bike Run ,2017-10-08
15,205,Justin Heijsteeg,AALSMEER,X,00:22:07,17,00:00:52,00:34:58,12,00:57:56,13,00:00:49,00:11:53,16,01:10:37,,NK Run Bike Run ,2017-10-08
16,201,Noël Butoh,HARDERWIJK,X,00:20:10,15,00:01:09,00:38:42,16,00:59:59,16,00:00:54,00:10:12,13,01:11:04,,NK Run Bike Run ,2017-10-08
17,206,Alex Kling,VEENENDAAL,X,00:17:15,6,00:00:41,,,,,,,,,,NK Run Bike Run ,2017-10-08
